account_id,cf_user_id,monthly_salary,avg_daily_spend,min_balance_eom,liquidity_ratio,discretionary_ratio,initial_vault_savings,high_yield_intent,cluster_id,persona_name,persona_th,persona_desc,recommended_sweep_pct,scam_vulnerability,vault_friction_level
ACC_0070,USER_0010,32000.0,578.04,-9504.06,-0.297,0.1621,16839.69,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0071,USER_0011,36000.0,603.13,-11350.22,-0.3153,0.2661,4969.2,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0072,USER_0012,24000.0,681.45,-21189.0,-0.8829,0.2616,3707.81,0,1,High-Yield Seeker Novice,ผู้แสวงหาผลตอบแทนสูง (เสี่ยง Ponzi/แชร์ลูกโซ่สูง),"มีเงินเก็บก้อนแรก 30,000–100,000 บาท มักมองหาผลตอบแทนเร็ว แต่ความเข้าใจความเสี่ยงจำกัด เสี่ยงต่อแอปหลอกลงทุน",0.12,HIGH,MAXIMUM
ACC_0073,USER_0013,24000.0,583.76,-12129.29,-0.5054,0.2787,12283.04,0,1,High-Yield Seeker Novice,ผู้แสวงหาผลตอบแทนสูง (เสี่ยง Ponzi/แชร์ลูกโซ่สูง),"มีเงินเก็บก้อนแรก 30,000–100,000 บาท มักมองหาผลตอบแทนเร็ว แต่ความเข้าใจความเสี่ยงจำกัด เสี่ยงต่อแอปหลอกลงทุน",0.12,HIGH,MAXIMUM
ACC_0074,USER_0014,36000.0,602.34,-9776.8,-0.2716,0.2675,5235.24,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0075,USER_0015,28000.0,580.14,-9206.46,-0.3288,0.2627,11103.04,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0076,USER_0016,20000.0,620.72,-20119.51,-1.006,0.189,6973.28,0,1,High-Yield Seeker Novice,ผู้แสวงหาผลตอบแทนสูง (เสี่ยง Ponzi/แชร์ลูกโซ่สูง),"มีเงินเก็บก้อนแรก 30,000–100,000 บาท มักมองหาผลตอบแทนเร็ว แต่ความเข้าใจความเสี่ยงจำกัด เสี่ยงต่อแอปหลอกลงทุน",0.12,HIGH,MAXIMUM
ACC_0077,USER_0017,28000.0,619.41,-10907.7,-0.3896,0.2586,16705.74,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0078,USER_0018,36000.0,653.75,-8724.98,-0.2424,0.2491,2770.9,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0079,USER_0019,28000.0,634.7,-9290.21,-0.3318,0.2931,10010.69,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0080,USER_0020,36000.0,618.23,-7738.1,-0.2149,0.2217,10350.65,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0081,USER_0021,24000.0,627.86,-18466.53,-0.7694,0.2491,7686.71,0,1,High-Yield Seeker Novice,ผู้แสวงหาผลตอบแทนสูง (เสี่ยง Ponzi/แชร์ลูกโซ่สูง),"มีเงินเก็บก้อนแรก 30,000–100,000 บาท มักมองหาผลตอบแทนเร็ว แต่ความเข้าใจความเสี่ยงจำกัด เสี่ยงต่อแอปหลอกลงทุน",0.12,HIGH,MAXIMUM
ACC_0082,USER_0022,32000.0,629.9,-13176.86,-0.4118,0.258,6403.61,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0083,USER_0023,20000.0,565.35,-14143.66,-0.7072,0.2316,6112.68,0,1,High-Yield Seeker Novice,ผู้แสวงหาผลตอบแทนสูง (เสี่ยง Ponzi/แชร์ลูกโซ่สูง),"มีเงินเก็บก้อนแรก 30,000–100,000 บาท มักมองหาผลตอบแทนเร็ว แต่ความเข้าใจความเสี่ยงจำกัด เสี่ยงต่อแอปหลอกลงทุน",0.12,HIGH,MAXIMUM
ACC_0084,USER_0024,36000.0,559.35,-10872.56,-0.302,0.2444,2736.66,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0085,USER_0025,28000.0,683.89,-17111.84,-0.6111,0.2573,11925.98,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0086,USER_0026,36000.0,684.13,-10173.18,-0.2826,0.2337,5241.71,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0087,USER_0027,24000.0,596.07,-11247.94,-0.4687,0.2222,12500.23,0,1,High-Yield Seeker Novice,ผู้แสวงหาผลตอบแทนสูง (เสี่ยง Ponzi/แชร์ลูกโซ่สูง),"มีเงินเก็บก้อนแรก 30,000–100,000 บาท มักมองหาผลตอบแทนเร็ว แต่ความเข้าใจความเสี่ยงจำกัด เสี่ยงต่อแอปหลอกลงทุน",0.12,HIGH,MAXIMUM
ACC_0088,USER_0028,28000.0,585.07,-7897.3,-0.282,0.2098,12360.82,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0089,USER_0029,24000.0,600.09,-14050.69,-0.5854,0.3235,9995.11,0,1,High-Yield Seeker Novice,ผู้แสวงหาผลตอบแทนสูง (เสี่ยง Ponzi/แชร์ลูกโซ่สูง),"มีเงินเก็บก้อนแรก 30,000–100,000 บาท มักมองหาผลตอบแทนเร็ว แต่ความเข้าใจความเสี่ยงจำกัด เสี่ยงต่อแอปหลอกลงทุน",0.12,HIGH,MAXIMUM
ACC_0090,USER_0030,28000.0,652.24,-10408.02,-0.3717,0.2188,4448.87,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0091,USER_0031,36000.0,554.28,-11615.75,-0.3227,0.2492,5216.06,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0092,USER_0032,28000.0,599.66,-9439.02,-0.3371,0.2195,16174.09,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0093,USER_0033,36000.0,645.28,-8056.49,-0.2238,0.174,11701.67,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0094,USER_0034,36000.0,584.73,-10727.41,-0.298,0.2935,13510.17,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0095,USER_0035,28000.0,546.1,-7595.35,-0.2713,0.181,5660.86,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0096,USER_0036,36000.0,605.64,-8662.4,-0.2406,0.2611,5434.99,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0097,USER_0037,24000.0,601.5,-14295.01,-0.5956,0.2094,15391.11,0,1,High-Yield Seeker Novice,ผู้แสวงหาผลตอบแทนสูง (เสี่ยง Ponzi/แชร์ลูกโซ่สูง),"มีเงินเก็บก้อนแรก 30,000–100,000 บาท มักมองหาผลตอบแทนเร็ว แต่ความเข้าใจความเสี่ยงจำกัด เสี่ยงต่อแอปหลอกลงทุน",0.12,HIGH,MAXIMUM
ACC_0098,USER_0038,20000.0,595.73,-19757.61,-0.9879,0.2054,13716.28,0,1,High-Yield Seeker Novice,ผู้แสวงหาผลตอบแทนสูง (เสี่ยง Ponzi/แชร์ลูกโซ่สูง),"มีเงินเก็บก้อนแรก 30,000–100,000 บาท มักมองหาผลตอบแทนเร็ว แต่ความเข้าใจความเสี่ยงจำกัด เสี่ยงต่อแอปหลอกลงทุน",0.12,HIGH,MAXIMUM
ACC_0099,USER_0039,32000.0,594.74,-9819.49,-0.3069,0.2524,12756.46,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0100,USER_0040,24000.0,681.58,-22045.62,-0.9186,0.2289,10694.48,0,1,High-Yield Seeker Novice,ผู้แสวงหาผลตอบแทนสูง (เสี่ยง Ponzi/แชร์ลูกโซ่สูง),"มีเงินเก็บก้อนแรก 30,000–100,000 บาท มักมองหาผลตอบแทนเร็ว แต่ความเข้าใจความเสี่ยงจำกัด เสี่ยงต่อแอปหลอกลงทุน",0.12,HIGH,MAXIMUM
ACC_0101,USER_0041,28000.0,584.79,-9756.08,-0.3484,0.2801,10262.38,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0102,USER_0042,36000.0,629.39,-9580.22,-0.2661,0.1914,11562.91,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0103,USER_0043,20000.0,554.81,-13561.67,-0.6781,0.2122,8913.78,0,1,High-Yield Seeker Novice,ผู้แสวงหาผลตอบแทนสูง (เสี่ยง Ponzi/แชร์ลูกโซ่สูง),"มีเงินเก็บก้อนแรก 30,000–100,000 บาท มักมองหาผลตอบแทนเร็ว แต่ความเข้าใจความเสี่ยงจำกัด เสี่ยงต่อแอปหลอกลงทุน",0.12,HIGH,MAXIMUM
ACC_0104,USER_0044,32000.0,593.95,-9958.25,-0.3112,0.2257,4366.73,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0105,USER_0045,32000.0,681.27,-9813.64,-0.3067,0.2552,3339.84,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0106,USER_0046,28000.0,571.24,-9524.68,-0.3402,0.2158,2137.04,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0107,USER_0047,36000.0,580.43,-8153.22,-0.2265,0.2215,4603.28,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0108,USER_0048,24000.0,609.46,-13042.07,-0.5434,0.2578,5737.78,0,1,High-Yield Seeker Novice,ผู้แสวงหาผลตอบแทนสูง (เสี่ยง Ponzi/แชร์ลูกโซ่สูง),"มีเงินเก็บก้อนแรก 30,000–100,000 บาท มักมองหาผลตอบแทนเร็ว แต่ความเข้าใจความเสี่ยงจำกัด เสี่ยงต่อแอปหลอกลงทุน",0.12,HIGH,MAXIMUM
ACC_0109,USER_0049,36000.0,618.64,-6637.15,-0.1844,0.2469,11783.37,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0110,USER_0050,36000.0,621.09,-9766.09,-0.2713,0.2838,3856.94,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0111,USER_0051,20000.0,630.72,-23141.06,-1.1571,0.1649,11794.72,0,1,High-Yield Seeker Novice,ผู้แสวงหาผลตอบแทนสูง (เสี่ยง Ponzi/แชร์ลูกโซ่สูง),"มีเงินเก็บก้อนแรก 30,000–100,000 บาท มักมองหาผลตอบแทนเร็ว แต่ความเข้าใจความเสี่ยงจำกัด เสี่ยงต่อแอปหลอกลงทุน",0.12,HIGH,MAXIMUM
ACC_0112,USER_0052,28000.0,637.32,-8728.89,-0.3117,0.1736,8000.91,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0113,USER_0053,28000.0,664.2,-11381.88,-0.4065,0.2227,15631.77,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0114,USER_0054,32000.0,566.37,-7695.41,-0.2405,0.2022,4426.11,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0115,USER_0055,24000.0,573.3,-7806.32,-0.3253,0.2168,5137.48,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0116,USER_0056,24000.0,537.15,-9922.93,-0.4135,0.2243,8002.7,0,1,High-Yield Seeker Novice,ผู้แสวงหาผลตอบแทนสูง (เสี่ยง Ponzi/แชร์ลูกโซ่สูง),"มีเงินเก็บก้อนแรก 30,000–100,000 บาท มักมองหาผลตอบแทนเร็ว แต่ความเข้าใจความเสี่ยงจำกัด เสี่ยงต่อแอปหลอกลงทุน",0.12,HIGH,MAXIMUM
ACC_0117,USER_0057,28000.0,546.6,-8172.39,-0.2919,0.2374,9222.58,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0118,USER_0058,36000.0,633.13,-9388.92,-0.2608,0.2531,17082.43,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0119,USER_0059,24000.0,602.32,-15075.07,-0.6281,0.2398,15565.5,0,1,High-Yield Seeker Novice,ผู้แสวงหาผลตอบแทนสูง (เสี่ยง Ponzi/แชร์ลูกโซ่สูง),"มีเงินเก็บก้อนแรก 30,000–100,000 บาท มักมองหาผลตอบแทนเร็ว แต่ความเข้าใจความเสี่ยงจำกัด เสี่ยงต่อแอปหลอกลงทุน",0.12,HIGH,MAXIMUM
ACC_0120,USER_0060,20000.0,607.84,-20379.78,-1.019,0.2331,12847.29,0,1,High-Yield Seeker Novice,ผู้แสวงหาผลตอบแทนสูง (เสี่ยง Ponzi/แชร์ลูกโซ่สูง),"มีเงินเก็บก้อนแรก 30,000–100,000 บาท มักมองหาผลตอบแทนเร็ว แต่ความเข้าใจความเสี่ยงจำกัด เสี่ยงต่อแอปหลอกลงทุน",0.12,HIGH,MAXIMUM
ACC_0121,USER_0061,32000.0,572.95,-8581.12,-0.2682,0.2057,3781.29,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0122,USER_0062,28000.0,670.92,-12793.21,-0.4569,0.218,4511.87,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0123,USER_0063,32000.0,581.58,-10467.42,-0.3271,0.266,13143.51,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
ACC_0124,USER_0064,28000.0,662.49,-13322.17,-0.4758,0.2736,3697.04,0,0,Paycheck-to-Paycheck Spender,มนุษย์เงินเดือนชนเดือน (สภาพคล่องจำกัดปลายเดือน),"รายได้ 18,000–35,000 บาท สภาพคล่องตึงตัวปลายเดือน ต้องการระบบออมเศษเงินอัตโนมัติแบบ Zero-Manual Effort",0.06,MODERATE,FLEXIBLE
